No,Country,Year,Rank,Total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention
0,South Sudan,2014,1st,Alert,9.9,10.0,10.0,8.8,8.9,6.8,9.7,9.9,9.9,9.1,10.0,9.9
1,Somalia,2014,2nd,Alert,9.4,10.0,9.3,9.1,8.7,8.9,9.1,9.6,9.8,9.5,10.0,9.2
2,Central African Republic,2014,3rd,Alert,9.9,9.7,9.5,7.8,9.4,7.0,9.5,9.7,9.5,8.7,10.0,9.9
3,Congo Democratic Republic,2014,4th,Alert,9.4,9.5,9.6,8.2,8.5,7.2,9.3,9.4,10.0,9.4,9.9,9.8
4,Sudan,2014,5th,Alert,9.6,10.0,9.9,8.1,8.2,8.7,9.3,9.1,9.3,8.6,9.7,9.6
5,Chad,2014,6th,Alert,9.1,9.8,8.5,7.7,8.8,8.3,9.4,10.0,9.5,9.6,9.8,8.2
6,Afghanistan,2014,7th,Alert,10.0,9.4,8.7,8.3,7.5,7.8,9.5,9.0,8.3,8.8,9.3,9.9
7,Yemen,2014,8th,Alert,9.5,9.4,9.3,9.1,7.8,7.3,8.9,8.5,9.0,9.1,9.0,8.5
8,Haiti,2014,9th,Alert,7.5,9.1,7.0,9.4,9.3,9.1,8.9,9.5,7.5,8.7,8.5,9.8
9,Pakistan,2014,10th,Alert,9.9,9.5,10.0,7.5,7.6,6.9,8.5,7.6,8.6,8.8,8.8,9.3
10,Zimbabwe,2014,11th,Alert,8.1,10.0,8.1,8.3,8.3,8.3,9.3,8.8,8.6,8.9,8.4,7.7
11,Guinea,2014,12th,Alert,9.2,9.6,8.4,8.9,7.9,7.5,9.9,9.2,8.5,8.0,8.3,7.3
12,Iraq,2014,13th,Alert,10.0,9.6,10.0,7.0,8.1,8.0,8.7,7.7,8.7,8.0,8.5,7.9
13,Cote dIvoire,2014,14th,Alert,8.8,9.4,9.0,7.4,7.6,7.0,8.8,8.7,8.7,7.8,9.1,9.4
14,Syria,2014,15th,Alert,10.0,9.6,10.0,6.7,6.9,6.9,9.8,7.2,9.9,6.0,10.0,8.6
15,Guinea Bissau,2014,16th,Alert,8.6,9.6,6.0,8.4,8.1,8.3,9.3,9.1,7.5,8.5,8.1,9.1
16,Nigeria,2014,17th,Alert,9.5,9.5,9.8,7.3,8.9,7.0,8.8,9.0,8.7,8.3,6.9,6.0
17,Kenya,2014,18th,Alert,8.2,9.3,9.3,7.9,8.0,7.8,8.4,8.2,6.8,8.7,8.2,8.2
18,Ethiopia,2014,19th,Alert,8.1,8.7,8.9,7.4,7.3,6.7,7.1,8.9,8.0,9.4,9.0,8.4
19,Niger,2014,19th,Alert,8.4,8.9,7.5,8.1,7.9,6.6,7.8,9.3,7.3,9.3,8.2,8.6
20,Burundi,2014,21st,Alert,7.4,7.9,8.1,8.8,7.5,6.5,8.1,8.6,8.0,8.7,9.0,8.5
21,Uganda,2014,22nd,Alert,7.9,8.9,8.3,7.3,7.6,6.9,7.8,8.3,7.6,8.7,8.7,8.0
22,Eritrea,2014,23rd,Alert,7.6,8.1,6.4,8.0,7.2,7.5,8.8,8.4,9.2,8.5,7.3,8.5
23,Liberia,2014,24th,Alert,6.8,8.3,6.5,8.0,8.0,6.9,6.9,9.3,6.3,8.5,9.1,9.7
24,Myanmar,2014,24th,Alert,8.0,8.6,9.3,7.0,8.1,5.3,9.3,8.3,8.0,7.3,8.2,6.9
25,North Korea,2014,26th,Alert,8.5,8.2,6.6,9.0,8.0,4.4,9.9,9.2,9.6,7.5,4.7,8.4
26,Cameroon,2014,27th,Alert,7.7,9.5,7.8,5.9,7.5,7.5,8.2,8.5,8.3,8.1,7.6,6.5
27,Mauritania,2014,28th,Alert,7.7,8.5,7.2,7.7,6.8,6.0,7.4,8.6,7.7,8.4,8.8,8.2
28,Bangladesh,2014,29th,Alert,7.8,9.3,8.7,7.0,7.5,7.2,8.4,8.4,8.0,7.6,6.9,6.0
29,Sri Lanka,2014,30th,Alert,8.2,9.4,9.3,6.2,7.5,7.6,8.3,5.3,9.1,6.5,8.5,6.7
30,Egypt,2014,31st,Alert,7.9,9.4,8.6,7.9,6.8,5.1,9.0,5.7,9.7,7.1,6.4,7.4
31,Nepal,2014,31st,Alert,7.3,8.3,9.0,7.1,7.8,6.2,7.6,7.4,7.6,7.8,7.6,7.3
32,Timor-Leste,2014,31st,Alert,8.0,8.3,6.8,8.2,6.4,6.7,7.7,8.5,5.7,8.8,7.1,8.8
33,Rwanda,2014,34th,Alert,5.9,8.2,8.5,6.7,7.9,7.2,6.5,7.5,7.8,8.0,8.2,8.1
34,Sierra Leone,2014,35th,Warning,5.1,7.7,5.9,8.3,8.5,8.3,7.2,9.1,5.9,8.7,7.8,7.4
35,Mali,2014,36th,Warning,8.0,4.9,7.5,7.9,7.1,8.1,5.9,8.6,6.8,9.0,7.5,8.5
36,Congo Republic,2014,37th,Warning,6.4,6.7,6.3,6.7,8.1,6.5,8.4,8.8,7.6,8.1,8.1,7.9
37,Malawi,2014,38th,Warning,5.1,7.7,5.7,8.3,8.1,8.4,7.6,8.1,6.5,8.8,6.4,8.4
38,Burkina Faso,2014,39th,Warning,6.9,7.3,5.3,7.4,8.1,6.6,7.8,8.8,6.5,9.0,7.6,7.7
39,Cambodia,2014,40th,Warning,6.3,8.6,7.3,6.1,7.4,7.2,8.4,8.0,7.9,7.5,6.1,7.7
40,Libya,2014,41st,Warning,9.2,8.1,7.5,6.1,6.4,5.5,8.5,7.4,8.7,5.7,5.7,9.0
